07-29 16:24:40.190 I/[APP][Time](27331): Init using time: 58 ms, current time: 1406622280198 ms
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::vologInit0x0a030000::122 @#@#log pWorkPath: /data/data/com.visualon.AppUI/lib/
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::voLoadModule0x0a030000::287 @#@#log szDll: /data/data/com.visualon.AppUI/lib/libvoLogSys.so
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::voLoadModule0x0a030000::308 @#@#log voLoadModule(0x0a030000)(0xb000fa2c, 0x531a6714, 0x531a6728, 0x531a6740, 0x531a6754)
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::vologInit0x0a030000::143 @#@#log maxlevel: 4
07-29 16:24:40.670 I/VOLOG   (27331): 16:24:40.684 @@@VOLOG,   Info, 0A030000, 40075528, DRM_Verimatrix_AES128_Other.cpp, SetParameter, 510, uID 43200003
07-29 16:24:40.670 I/VOLOG   (27331): 16:24:40.685 @@@VOLOG,   Info, 0A030000, 40075528, DRM_Verimatrix_AES128_Other.cpp, SetParameter, 524, NTlmZTQ5NGUxMDMxZDZhYTk4NjVlNTZhZTk5ZDFhMjEzYzQ5NWQ5OQ==
07-29 16:24:40.690 I/VOLOG   (27331): 16:24:40.699 @@@VOLOG,   Info, 0A030000, 40075528, DRM_Verimatrix_AES128_Other.cpp, SetParameter, 510, uID 4320000a
07-29 16:24:40.690 I/VOLOG   (27331): 16:24:40.699 @@@VOLOG,   Info, 0A030000, 40075528, DRM_Verimatrix_AES128_Other.cpp, SetParameter, 510, uID 43200006
07-29 16:24:40.690 I/VOLOG   (27331): 16:24:40.699 @@@VOLOG,   Info, 0A030000, 40075528, DRM.cpp, SetParameter, 104, EXIT 0
07-29 16:24:40.690 I/VOLOG   (27331): 16:24:40.707 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 581, u_flag 100, e_source_format 8000
07-29 16:24:40.720 I/[APP][Time](27331): Open using time: 75 ms, current time: 1406622280734 ms
07-29 16:24:40.760 I/VOLOG   (27331): 16:24:40.774 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 581, u_flag 1, e_source_format 8100
07-29 16:24:40.760 I/VOLOG   (27331): 16:24:40.774 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 644, +lock 1
07-29 16:24:40.760 I/VOLOG   (27331): 16:24:40.774 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 646, -lock 1
07-29 16:24:40.760 I/VOLOG   (27331): 16:24:40.774 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 650, e_source_format 8100 http://10.2.68.24/ericsson/drm/cars/cars-nodrm.m3u8
07-29 16:24:40.760 I/VOLOG   (27331): 16:24:40.774 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 652, +cb
07-29 16:24:40.760 I/VOLOG   (27331): 16:24:40.776 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, SetParameter, 510, uID 4700000d
07-29 16:24:40.760 I/VOLOG   (27331): 16:24:40.776 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, SetParameter, 542, Size 15
07-29 16:24:40.760 I/VOLOG   (27331): 16:24:40.776 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, SetParameter, 549, vcas need provision
07-29 16:24:40.760 I/VOLOG   (27331): 16:24:40.776 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, SetParameter, 551, m_sz_vcas_address 107.23.70.70:80
07-29 16:24:40.760 I/VOLOG   (27331): 16:24:40.777 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 654, -cb m_sz_vcas_address 107.23.70.70:80
07-29 16:24:40.760 I/VOLOG   (27331): 16:24:40.778 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, TestOutputControl, 1025, Try Debug configration.
07-29 16:24:40.770 I/VOLOG   (27331): 16:24:40.778 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, TestOutputControl, 1043, Got Debug configration.
07-29 16:24:40.770 I/VOLOG   (27331): 16:24:40.778 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, TestOutputControl, 1064, Debug BestEffort_Enabled 0
07-29 16:24:40.770 I/VOLOG   (27331): 16:24:40.778 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, TestOutputControl, 1106, Debug HDCP_Enabled 1
07-29 16:24:40.770 I/VOLOG   (27331): 16:24:40.779 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, TestOutputControl, 1148, Debug CIT_Digital_Enabled 0
